[2025-12-17 16:30:55] test_synthetic.py(142) : DEBUG_MODE: False
[2025-12-17 16:30:55] test_synthetic.py(143) : USE_CUDA: True, CUDA_DEVICE_NUM: 0
[2025-12-17 16:30:55] test_synthetic.py(144) : env_params{'mode': 'test', 'data_path': '/public/home/bayp/exp_survey_202509/0_data_survey/survey_synthetic_tsp/test_tsp1000_n128_lkh.txt', 'sub_path': False, 'RRC_budget': 1000}
[2025-12-17 16:30:55] test_synthetic.py(144) : model_params{'mode': 'test', 'embedding_dim': 128, 'sqrt_embedding_dim': 11.313708498984761, 'decoder_layer_num': 6, 'qkv_dim': 16, 'head_num': 8, 'ff_hidden_dim': 512}
[2025-12-17 16:30:55] test_synthetic.py(144) : tester_params{'use_cuda': True, 'cuda_device_num': 0, 'test_episodes': 128, 'test_batch_size': 128}
[2025-12-17 16:30:55] test_synthetic.py(144) : logger_params{'log_file': {'desc': 'test_tsp1000_RRC1000', 'filename': 'run_log.txt', 'filepath': './result_survey_tsp_synthetic/tsp1000/20251217_163055test_tsp1000_RRC1000'}}
[2025-12-17 16:32:34] TSPTester.py(192) : greedy, name:TSP1000, gap:3.116160 %,  Elapsed[1.63m], stu_l:23.838638 , opt_l:23.118198
[2025-12-17 16:42:12] TSPTester.py(256) : RRC step26, name:TSP1000, gap:1.622584 %, Elapsed[11.27m], stu_l:23.493423 , opt_l:23.118198
[2025-12-17 16:42:21] TSPTester.py(256) : RRC step27, name:TSP1000, gap:1.615042 %, Elapsed[11.43m], stu_l:23.491669 , opt_l:23.118198
[2025-12-17 16:42:24] TSPTester.py(256) : RRC step28, name:TSP1000, gap:1.595394 %, Elapsed[11.47m], stu_l:23.487122 , opt_l:23.118198
[2025-12-17 16:42:56] TSPTester.py(256) : RRC step29, name:TSP1000, gap:1.576045 %, Elapsed[12.01m], stu_l:23.482647 , opt_l:23.118198
[2025-12-17 16:43:33] TSPTester.py(256) : RRC step30, name:TSP1000, gap:1.567062 %, Elapsed[12.62m], stu_l:23.480570 , opt_l:23.118198
[2025-12-17 16:44:04] TSPTester.py(256) : RRC step31, name:TSP1000, gap:1.557393 %, Elapsed[13.15m], stu_l:23.478340 , opt_l:23.118198
[2025-12-17 16:45:11] TSPTester.py(256) : RRC step32, name:TSP1000, gap:1.552287 %, Elapsed[14.25m], stu_l:23.477160 , opt_l:23.118198
[2025-12-17 16:45:12] TSPTester.py(256) : RRC step33, name:TSP1000, gap:1.534731 %, Elapsed[14.28m], stu_l:23.473103 , opt_l:23.118198
[2025-12-17 16:46:30] TSPTester.py(256) : RRC step34, name:TSP1000, gap:1.533165 %, Elapsed[15.57m], stu_l:23.472744 , opt_l:23.118198
[2025-12-17 16:46:34] TSPTester.py(256) : RRC step35, name:TSP1000, gap:1.514252 %, Elapsed[15.64m], stu_l:23.468390 , opt_l:23.118198
[2025-12-17 16:46:41] TSPTester.py(256) : RRC step36, name:TSP1000, gap:1.492236 %, Elapsed[15.75m], stu_l:23.463291 , opt_l:23.118198
[2025-12-17 16:48:10] TSPTester.py(256) : RRC step37, name:TSP1000, gap:1.492237 %, Elapsed[17.24m], stu_l:23.463291 , opt_l:23.118198
[2025-12-17 16:48:35] TSPTester.py(256) : RRC step38, name:TSP1000, gap:1.482067 %, Elapsed[17.65m], stu_l:23.460949 , opt_l:23.118198
[2025-12-17 16:48:36] TSPTester.py(256) : RRC step39, name:TSP1000, gap:1.452728 %, Elapsed[17.68m], stu_l:23.454174 , opt_l:23.118198
[2025-12-17 16:48:48] TSPTester.py(256) : RRC step40, name:TSP1000, gap:1.444268 %, Elapsed[17.87m], stu_l:23.452213 , opt_l:23.118198
[2025-12-17 16:50:06] TSPTester.py(256) : RRC step41, name:TSP1000, gap:1.442590 %, Elapsed[19.17m], stu_l:23.451824 , opt_l:23.118198
[2025-12-17 16:50:24] TSPTester.py(256) : RRC step42, name:TSP1000, gap:1.437184 %, Elapsed[19.47m], stu_l:23.450571 , opt_l:23.118198
[2025-12-17 16:50:32] TSPTester.py(256) : RRC step43, name:TSP1000, gap:1.425928 %, Elapsed[19.61m], stu_l:23.447971 , opt_l:23.118198
[2025-12-17 16:50:32] TSPTester.py(256) : RRC step44, name:TSP1000, gap:1.416262 %, Elapsed[19.61m], stu_l:23.445728 , opt_l:23.118198
[2025-12-17 16:50:33] TSPTester.py(256) : RRC step45, name:TSP1000, gap:1.400409 %, Elapsed[19.63m], stu_l:23.442070 , opt_l:23.118198
[2025-12-17 16:50:50] TSPTester.py(256) : RRC step46, name:TSP1000, gap:1.393863 %, Elapsed[19.91m], stu_l:23.440554 , opt_l:23.118198
[2025-12-17 16:52:08] TSPTester.py(256) : RRC step47, name:TSP1000, gap:1.393863 %, Elapsed[21.20m], stu_l:23.440556 , opt_l:23.118198
[2025-12-17 16:52:58] TSPTester.py(256) : RRC step48, name:TSP1000, gap:1.386645 %, Elapsed[22.04m], stu_l:23.438877 , opt_l:23.118198
[2025-12-17 16:53:05] TSPTester.py(256) : RRC step49, name:TSP1000, gap:1.378471 %, Elapsed[22.16m], stu_l:23.436996 , opt_l:23.118198
[2025-12-17 16:53:13] TSPTester.py(256) : RRC step50, name:TSP1000, gap:1.365802 %, Elapsed[22.29m], stu_l:23.434067 , opt_l:23.118198
[2025-12-17 16:53:33] TSPTester.py(256) : RRC step51, name:TSP1000, gap:1.361482 %, Elapsed[22.62m], stu_l:23.433069 , opt_l:23.118198
[2025-12-17 16:53:38] TSPTester.py(256) : RRC step52, name:TSP1000, gap:1.355533 %, Elapsed[22.71m], stu_l:23.431692 , opt_l:23.118198
[2025-12-17 16:53:40] TSPTester.py(256) : RRC step53, name:TSP1000, gap:1.343392 %, Elapsed[22.73m], stu_l:23.428879 , opt_l:23.118198
[2025-12-17 16:55:04] TSPTester.py(256) : RRC step54, name:TSP1000, gap:1.343392 %, Elapsed[24.14m], stu_l:23.428879 , opt_l:23.118198
[2025-12-17 16:55:07] TSPTester.py(256) : RRC step55, name:TSP1000, gap:1.335985 %, Elapsed[24.19m], stu_l:23.427158 , opt_l:23.118198
[2025-12-17 16:55:27] TSPTester.py(256) : RRC step56, name:TSP1000, gap:1.331623 %, Elapsed[24.52m], stu_l:23.426146 , opt_l:23.118198
[2025-12-17 16:55:50] TSPTester.py(256) : RRC step57, name:TSP1000, gap:1.329263 %, Elapsed[24.90m], stu_l:23.425604 , opt_l:23.118198
[2025-12-17 16:56:25] TSPTester.py(256) : RRC step58, name:TSP1000, gap:1.328303 %, Elapsed[25.49m], stu_l:23.425381 , opt_l:23.118198
[2025-12-17 16:56:33] TSPTester.py(256) : RRC step59, name:TSP1000, gap:1.322098 %, Elapsed[25.62m], stu_l:23.423941 , opt_l:23.118198
[2025-12-17 16:57:57] TSPTester.py(256) : RRC step60, name:TSP1000, gap:1.322098 %, Elapsed[27.02m], stu_l:23.423941 , opt_l:23.118198
[2025-12-17 16:58:13] TSPTester.py(256) : RRC step61, name:TSP1000, gap:1.318934 %, Elapsed[27.29m], stu_l:23.423208 , opt_l:23.118198
[2025-12-17 16:58:40] TSPTester.py(256) : RRC step62, name:TSP1000, gap:1.315465 %, Elapsed[27.75m], stu_l:23.422401 , opt_l:23.118198
[2025-12-17 16:59:35] TSPTester.py(256) : RRC step63, name:TSP1000, gap:1.315464 %, Elapsed[28.66m], stu_l:23.422401 , opt_l:23.118198
[2025-12-17 16:59:38] TSPTester.py(256) : RRC step64, name:TSP1000, gap:1.300700 %, Elapsed[28.70m], stu_l:23.418978 , opt_l:23.118198
[2025-12-17 17:00:15] TSPTester.py(256) : RRC step65, name:TSP1000, gap:1.300700 %, Elapsed[29.32m], stu_l:23.418978 , opt_l:23.118198
[2025-12-17 17:00:31] TSPTester.py(256) : RRC step66, name:TSP1000, gap:1.299140 %, Elapsed[29.58m], stu_l:23.418623 , opt_l:23.118198
[2025-12-17 17:00:31] TSPTester.py(256) : RRC step67, name:TSP1000, gap:1.294215 %, Elapsed[29.59m], stu_l:23.417482 , opt_l:23.118198
[2025-12-17 17:00:35] TSPTester.py(256) : RRC step68, name:TSP1000, gap:1.288529 %, Elapsed[29.66m], stu_l:23.416164 , opt_l:23.118198
[2025-12-17 17:00:36] TSPTester.py(256) : RRC step69, name:TSP1000, gap:1.272918 %, Elapsed[29.67m], stu_l:23.412556 , opt_l:23.118198
[2025-12-17 17:01:31] TSPTester.py(256) : RRC step70, name:TSP1000, gap:1.270908 %, Elapsed[30.59m], stu_l:23.412092 , opt_l:23.118198
[2025-12-17 17:01:32] TSPTester.py(256) : RRC step71, name:TSP1000, gap:1.261306 %, Elapsed[30.60m], stu_l:23.409870 , opt_l:23.118198
[2025-12-17 17:01:32] TSPTester.py(256) : RRC step72, name:TSP1000, gap:1.254261 %, Elapsed[30.61m], stu_l:23.408239 , opt_l:23.118198
[2025-12-17 17:01:33] TSPTester.py(256) : RRC step73, name:TSP1000, gap:1.248612 %, Elapsed[30.62m], stu_l:23.406933 , opt_l:23.118198
[2025-12-17 17:01:58] TSPTester.py(256) : RRC step74, name:TSP1000, gap:1.247032 %, Elapsed[31.04m], stu_l:23.406569 , opt_l:23.118198
[2025-12-17 17:02:04] TSPTester.py(256) : RRC step75, name:TSP1000, gap:1.235239 %, Elapsed[31.13m], stu_l:23.403847 , opt_l:23.118198
[2025-12-17 17:03:42] TSPTester.py(256) : RRC step76, name:TSP1000, gap:1.235239 %, Elapsed[32.78m], stu_l:23.403847 , opt_l:23.118198
[2025-12-17 17:04:09] TSPTester.py(256) : RRC step77, name:TSP1000, gap:1.231807 %, Elapsed[33.23m], stu_l:23.403055 , opt_l:23.118198
[2025-12-17 17:04:30] TSPTester.py(256) : RRC step78, name:TSP1000, gap:1.231129 %, Elapsed[33.57m], stu_l:23.402897 , opt_l:23.118198
[2025-12-17 17:05:56] TSPTester.py(256) : RRC step79, name:TSP1000, gap:1.231129 %, Elapsed[35.00m], stu_l:23.402897 , opt_l:23.118198
[2025-12-17 17:06:46] TSPTester.py(256) : RRC step80, name:TSP1000, gap:1.231130 %, Elapsed[35.84m], stu_l:23.402897 , opt_l:23.118198
[2025-12-17 17:06:55] TSPTester.py(256) : RRC step81, name:TSP1000, gap:1.225153 %, Elapsed[35.99m], stu_l:23.401516 , opt_l:23.118198
[2025-12-17 17:07:13] TSPTester.py(256) : RRC step82, name:TSP1000, gap:1.224490 %, Elapsed[36.29m], stu_l:23.401363 , opt_l:23.118198
[2025-12-17 17:07:50] TSPTester.py(256) : RRC step83, name:TSP1000, gap:1.224491 %, Elapsed[36.90m], stu_l:23.401363 , opt_l:23.118198
[2025-12-17 17:08:04] TSPTester.py(256) : RRC step84, name:TSP1000, gap:1.219086 %, Elapsed[37.13m], stu_l:23.400112 , opt_l:23.118198
[2025-12-17 17:09:01] TSPTester.py(256) : RRC step85, name:TSP1000, gap:1.219086 %, Elapsed[38.10m], stu_l:23.400110 , opt_l:23.118198
[2025-12-17 17:10:26] TSPTester.py(256) : RRC step86, name:TSP1000, gap:1.219086 %, Elapsed[39.51m], stu_l:23.400112 , opt_l:23.118198
[2025-12-17 17:11:38] TSPTester.py(256) : RRC step87, name:TSP1000, gap:1.219085 %, Elapsed[40.71m], stu_l:23.400110 , opt_l:23.118198
[2025-12-17 17:12:44] TSPTester.py(256) : RRC step88, name:TSP1000, gap:1.217200 %, Elapsed[41.81m], stu_l:23.399675 , opt_l:23.118198
[2025-12-17 17:14:24] TSPTester.py(256) : RRC step89, name:TSP1000, gap:1.217200 %, Elapsed[43.47m], stu_l:23.399675 , opt_l:23.118198
[2025-12-17 17:15:11] TSPTester.py(256) : RRC step90, name:TSP1000, gap:1.217201 %, Elapsed[44.25m], stu_l:23.399675 , opt_l:23.118198
[2025-12-17 17:16:22] TSPTester.py(256) : RRC step91, name:TSP1000, gap:1.217200 %, Elapsed[45.44m], stu_l:23.399675 , opt_l:23.118198
[2025-12-17 17:17:13] TSPTester.py(256) : RRC step92, name:TSP1000, gap:1.217200 %, Elapsed[46.29m], stu_l:23.399675 , opt_l:23.118198
[2025-12-17 17:17:31] TSPTester.py(256) : RRC step93, name:TSP1000, gap:1.215731 %, Elapsed[46.59m], stu_l:23.399336 , opt_l:23.118198
[2025-12-17 17:17:47] TSPTester.py(256) : RRC step94, name:TSP1000, gap:1.213573 %, Elapsed[46.85m], stu_l:23.398842 , opt_l:23.118198
[2025-12-17 17:17:51] TSPTester.py(256) : RRC step95, name:TSP1000, gap:1.211430 %, Elapsed[46.93m], stu_l:23.398344 , opt_l:23.118198
[2025-12-17 17:18:00] TSPTester.py(256) : RRC step96, name:TSP1000, gap:1.204674 %, Elapsed[47.08m], stu_l:23.396778 , opt_l:23.118198
[2025-12-17 17:19:11] TSPTester.py(256) : RRC step97, name:TSP1000, gap:1.204674 %, Elapsed[48.26m], stu_l:23.396778 , opt_l:23.118198
[2025-12-17 17:19:16] TSPTester.py(256) : RRC step98, name:TSP1000, gap:1.200829 %, Elapsed[48.34m], stu_l:23.395889 , opt_l:23.118198
[2025-12-17 17:19:54] TSPTester.py(256) : RRC step99, name:TSP1000, gap:1.200643 %, Elapsed[48.97m], stu_l:23.395844 , opt_l:23.118198
[2025-12-17 17:20:32] TSPTester.py(256) : RRC step100, name:TSP1000, gap:1.200622 %, Elapsed[49.60m], stu_l:23.395840 , opt_l:23.118198
[2025-12-17 17:20:32] TSPTester.py(256) : RRC step101, name:TSP1000, gap:1.194084 %, Elapsed[49.61m], stu_l:23.394333 , opt_l:23.118198
[2025-12-17 17:20:38] TSPTester.py(256) : RRC step102, name:TSP1000, gap:1.187460 %, Elapsed[49.71m], stu_l:23.392796 , opt_l:23.118198
[2025-12-17 17:20:50] TSPTester.py(256) : RRC step103, name:TSP1000, gap:1.185709 %, Elapsed[49.91m], stu_l:23.392393 , opt_l:23.118198
[2025-12-17 17:21:38] TSPTester.py(256) : RRC step104, name:TSP1000, gap:1.185710 %, Elapsed[50.71m], stu_l:23.392393 , opt_l:23.118198
[2025-12-17 17:21:38] TSPTester.py(256) : RRC step105, name:TSP1000, gap:1.179213 %, Elapsed[50.71m], stu_l:23.390888 , opt_l:23.118198
[2025-12-17 17:21:50] TSPTester.py(256) : RRC step106, name:TSP1000, gap:1.177791 %, Elapsed[50.90m], stu_l:23.390562 , opt_l:23.118198
[2025-12-17 17:21:50] TSPTester.py(256) : RRC step107, name:TSP1000, gap:1.168047 %, Elapsed[50.91m], stu_l:23.388309 , opt_l:23.118198
[2025-12-17 17:21:52] TSPTester.py(256) : RRC step108, name:TSP1000, gap:1.163277 %, Elapsed[50.93m], stu_l:23.387203 , opt_l:23.118198
[2025-12-17 17:21:53] TSPTester.py(256) : RRC step109, name:TSP1000, gap:1.151276 %, Elapsed[50.96m], stu_l:23.384422 , opt_l:23.118198
[2025-12-17 17:21:54] TSPTester.py(256) : RRC step110, name:TSP1000, gap:1.149837 %, Elapsed[50.97m], stu_l:23.384090 , opt_l:23.118198
[2025-12-17 17:22:04] TSPTester.py(256) : RRC step111, name:TSP1000, gap:1.149438 %, Elapsed[51.14m], stu_l:23.383999 , opt_l:23.118198
[2025-12-17 17:22:04] TSPTester.py(256) : RRC step112, name:TSP1000, gap:1.145494 %, Elapsed[51.15m], stu_l:23.383085 , opt_l:23.118198
[2025-12-17 17:22:23] TSPTester.py(256) : RRC step113, name:TSP1000, gap:1.145384 %, Elapsed[51.45m], stu_l:23.383060 , opt_l:23.118198
[2025-12-17 17:23:52] TSPTester.py(256) : RRC step114, name:TSP1000, gap:1.145384 %, Elapsed[52.95m], stu_l:23.383060 , opt_l:23.118198
[2025-12-17 17:24:26] TSPTester.py(256) : RRC step115, name:TSP1000, gap:1.145384 %, Elapsed[53.51m], stu_l:23.383060 , opt_l:23.118198
[2025-12-17 17:24:53] TSPTester.py(256) : RRC step116, name:TSP1000, gap:1.145384 %, Elapsed[53.95m], stu_l:23.383060 , opt_l:23.118198
[2025-12-17 17:24:54] TSPTester.py(256) : RRC step117, name:TSP1000, gap:1.137955 %, Elapsed[53.97m], stu_l:23.381348 , opt_l:23.118198
[2025-12-17 17:24:56] TSPTester.py(256) : RRC step118, name:TSP1000, gap:1.129536 %, Elapsed[54.01m], stu_l:23.379398 , opt_l:23.118198
[2025-12-17 17:26:36] TSPTester.py(256) : RRC step119, name:TSP1000, gap:1.129536 %, Elapsed[55.68m], stu_l:23.379398 , opt_l:23.118198
[2025-12-17 17:28:08] TSPTester.py(256) : RRC step120, name:TSP1000, gap:1.129536 %, Elapsed[57.21m], stu_l:23.379398 , opt_l:23.118198
[2025-12-17 17:28:33] TSPTester.py(256) : RRC step121, name:TSP1000, gap:1.128570 %, Elapsed[57.63m], stu_l:23.379171 , opt_l:23.118198
[2025-12-17 17:28:48] TSPTester.py(256) : RRC step122, name:TSP1000, gap:1.128571 %, Elapsed[57.88m], stu_l:23.379171 , opt_l:23.118198
[2025-12-17 17:28:55] TSPTester.py(256) : RRC step123, name:TSP1000, gap:1.124071 %, Elapsed[57.99m], stu_l:23.378136 , opt_l:23.118198
[2025-12-17 17:29:33] TSPTester.py(256) : RRC step124, name:TSP1000, gap:1.124071 %, Elapsed[58.62m], stu_l:23.378136 , opt_l:23.118198
[2025-12-17 17:31:09] TSPTester.py(256) : RRC step125, name:TSP1000, gap:1.124071 %, Elapsed[1.00h], stu_l:23.378136 , opt_l:23.118198
[2025-12-17 17:31:16] TSPTester.py(256) : RRC step126, name:TSP1000, gap:1.123706 %, Elapsed[1.01h], stu_l:23.378054 , opt_l:23.118198
[2025-12-17 17:31:17] TSPTester.py(256) : RRC step127, name:TSP1000, gap:1.117399 %, Elapsed[1.01h], stu_l:23.376591 , opt_l:23.118198
[2025-12-17 17:31:32] TSPTester.py(256) : RRC step128, name:TSP1000, gap:1.116559 %, Elapsed[1.01h], stu_l:23.376396 , opt_l:23.118198
[2025-12-17 17:32:03] TSPTester.py(256) : RRC step129, name:TSP1000, gap:1.116560 %, Elapsed[1.02h], stu_l:23.376396 , opt_l:23.118198
[2025-12-17 17:32:19] TSPTester.py(256) : RRC step130, name:TSP1000, gap:1.114929 %, Elapsed[1.02h], stu_l:23.376022 , opt_l:23.118198
[2025-12-17 17:32:25] TSPTester.py(256) : RRC step131, name:TSP1000, gap:1.112390 %, Elapsed[1.02h], stu_l:23.375433 , opt_l:23.118198
[2025-12-17 17:32:27] TSPTester.py(256) : RRC step132, name:TSP1000, gap:1.104941 %, Elapsed[1.03h], stu_l:23.373711 , opt_l:23.118198
[2025-12-17 17:32:27] TSPTester.py(256) : RRC step133, name:TSP1000, gap:1.103000 %, Elapsed[1.03h], stu_l:23.373262 , opt_l:23.118198
[2025-12-17 17:33:17] TSPTester.py(256) : RRC step134, name:TSP1000, gap:1.102994 %, Elapsed[1.04h], stu_l:23.373262 , opt_l:23.118198
[2025-12-17 17:33:49] TSPTester.py(256) : RRC step135, name:TSP1000, gap:1.102994 %, Elapsed[1.05h], stu_l:23.373260 , opt_l:23.118198
[2025-12-17 17:34:45] TSPTester.py(256) : RRC step136, name:TSP1000, gap:1.102994 %, Elapsed[1.06h], stu_l:23.373260 , opt_l:23.118198
[2025-12-17 17:35:15] TSPTester.py(256) : RRC step137, name:TSP1000, gap:1.102098 %, Elapsed[1.07h], stu_l:23.373055 , opt_l:23.118198
[2025-12-17 17:35:35] TSPTester.py(256) : RRC step138, name:TSP1000, gap:1.101387 %, Elapsed[1.08h], stu_l:23.372889 , opt_l:23.118198
[2025-12-17 17:36:33] TSPTester.py(256) : RRC step139, name:TSP1000, gap:1.100052 %, Elapsed[1.09h], stu_l:23.372581 , opt_l:23.118198
[2025-12-17 17:37:32] TSPTester.py(256) : RRC step140, name:TSP1000, gap:1.100052 %, Elapsed[1.11h], stu_l:23.372581 , opt_l:23.118198
[2025-12-17 17:38:01] TSPTester.py(256) : RRC step141, name:TSP1000, gap:1.100052 %, Elapsed[1.12h], stu_l:23.372581 , opt_l:23.118198
[2025-12-17 17:38:01] TSPTester.py(256) : RRC step142, name:TSP1000, gap:1.095167 %, Elapsed[1.12h], stu_l:23.371452 , opt_l:23.118198
[2025-12-17 17:38:58] TSPTester.py(256) : RRC step143, name:TSP1000, gap:1.095167 %, Elapsed[1.13h], stu_l:23.371452 , opt_l:23.118198
[2025-12-17 17:39:41] TSPTester.py(256) : RRC step144, name:TSP1000, gap:1.095076 %, Elapsed[1.15h], stu_l:23.371431 , opt_l:23.118198
[2025-12-17 17:39:53] TSPTester.py(256) : RRC step145, name:TSP1000, gap:1.093789 %, Elapsed[1.15h], stu_l:23.371134 , opt_l:23.118198
[2025-12-17 17:39:56] TSPTester.py(256) : RRC step146, name:TSP1000, gap:1.090024 %, Elapsed[1.15h], stu_l:23.370262 , opt_l:23.118198
[2025-12-17 17:39:58] TSPTester.py(256) : RRC step147, name:TSP1000, gap:1.087854 %, Elapsed[1.15h], stu_l:23.369759 , opt_l:23.118198
[2025-12-17 17:41:21] TSPTester.py(256) : RRC step148, name:TSP1000, gap:1.087854 %, Elapsed[1.17h], stu_l:23.369759 , opt_l:23.118198
[2025-12-17 17:41:24] TSPTester.py(256) : RRC step149, name:TSP1000, gap:1.087712 %, Elapsed[1.17h], stu_l:23.369724 , opt_l:23.118198
[2025-12-17 17:41:47] TSPTester.py(256) : RRC step150, name:TSP1000, gap:1.087584 %, Elapsed[1.18h], stu_l:23.369698 , opt_l:23.118198
[2025-12-17 17:41:51] TSPTester.py(256) : RRC step151, name:TSP1000, gap:1.084303 %, Elapsed[1.18h], stu_l:23.368933 , opt_l:23.118198
[2025-12-17 17:41:51] TSPTester.py(256) : RRC step152, name:TSP1000, gap:1.079932 %, Elapsed[1.18h], stu_l:23.367926 , opt_l:23.118198
[2025-12-17 17:42:48] TSPTester.py(256) : RRC step153, name:TSP1000, gap:1.079932 %, Elapsed[1.20h], stu_l:23.367926 , opt_l:23.118198
[2025-12-17 17:43:01] TSPTester.py(256) : RRC step154, name:TSP1000, gap:1.078634 %, Elapsed[1.20h], stu_l:23.367628 , opt_l:23.118198
[2025-12-17 17:44:40] TSPTester.py(256) : RRC step155, name:TSP1000, gap:1.078634 %, Elapsed[1.23h], stu_l:23.367628 , opt_l:23.118198
[2025-12-17 17:44:52] TSPTester.py(256) : RRC step156, name:TSP1000, gap:1.077695 %, Elapsed[1.23h], stu_l:23.367413 , opt_l:23.118198
